ID,time,rater,rating,desc::rater,dim::image,med::audio,med::video,med::image,desc::text,syllables,disfluencies,duration,rate,mean,sd,excursion,min,max,res::hide_ipu_code,res::temp_audio_code,res::recording,res::snippet,res::offset,res::experimentalsequence
CH1,1,1,a,CH,no,https://www.francescocangemi.com/isaphen/PSB.wav,https://youtu.be/xwqhSLq1oyg&t=0600,,aw man I forgot what I was gonna say,11,0,1893,5.81,94,6,16,79,111,02_0594_07.wav,PSB,02,0594,6,48
CH2,2,1,a,CH,no,https://www.francescocangemi.com/isaphen/CQU.wav,https://youtu.be/xwqhSLq1oyg&t=0604,,yea no based on um,5,0,1351,3.7,116,13,31,98,139,02_0594_11.wav,CQU,02,0594,10,8
CH3,3,1,a,CH,no,https://www.francescocangemi.com/isaphen/AFN.wav,https://youtu.be/xwqhSLq1oyg&t=0605,,you know I I I love gaming and I went into that,14,0,2710,5.17,106,9,19,92,150,02_0594_13.wav,AFN,02,0594,11,2
CH4,4,1,a,CH,no,https://www.francescocangemi.com/isaphen/QPD.wav,https://youtu.be/xwqhSLq1oyg&t=0609,,you know hoping to get,6,0,1042,5.76,103,11,29,81,129,02_0594_17.wav,QPD,02,0594,15,54
CH5,5,1,a,CH,no,https://www.francescocangemi.com/isaphen/ZNZ.wav,https://youtu.be/xwqhSLq1oyg&t=0611,,to the imaginary,7,0,1060,6.6,95,6,10,85,123,02_0594_19.wav,ZNZ,02,0594,17,84
CH6,6,1,a,CH,no,https://www.francescocangemi.com/isaphen/FBQ.wav,https://youtu.be/xwqhSLq1oyg&t=0615,,but never really got there,7,0,1058,6.62,98,9,24,82,118,02_0594_25.wav,FBQ,02,0594,21,13
CH7,7,1,a,CH,no,https://www.francescocangemi.com/isaphen/QCL.wav,https://youtu.be/xwqhSLq1oyg&t=0618,,so I think um,4,0,1298,3.08,105,12,29,88,145,02_0594_29.wav,QCL,02,0594,24,51
CH8,8,1,a,CH,no,https://www.francescocangemi.com/isaphen/RNG.wav,https://youtu.be/xwqhSLq1oyg&t=0622,,um frustration is the wrong word,8,0,1556,5.14,103,11,28,87,131,02_0594_33.wav,RNG,02,0594,28,56
CH9,9,1,a,CH,yes,https://www.francescocangemi.com/isaphen/WGE.wav,https://youtu.be/xwqhSLq1oyg&t=0624,https://www.francescocangemi.com/isaphen/WGE.png,i think out of habit i wanted to go to that imaginary place and that kept messing up,25,1,3872,6.46,100,11,21,83,153,02_0594_35.wav,WGE,02,0594,30,71
CH10,10,1,a,CH,yes,https://www.francescocangemi.com/isaphen/GKR.wav,https://youtu.be/xwqhSLq1oyg&t=0630,https://www.francescocangemi.com/isaphen/GKR.png,having to um,4,3,1513,2.64,93,5,13,85,115,02_0594_39.wav,GKR,02,0594,36,21
CH11,11,1,a,CH,yes,https://www.francescocangemi.com/isaphen/WAS.wav,https://youtu.be/xwqhSLq1oyg&t=0633,https://www.francescocangemi.com/isaphen/WAS.png,direct physical space without the,9,1,1810,4.97,98,10,26,79,123,02_0594_43.wav,WAS,02,0594,39,70
CH12,12,1,a,CH,no,https://www.francescocangemi.com/isaphen/ZVZ.wav,https://youtu.be/xwqhSLq1oyg&t=0636,,how to put it like meaning layer,9,1,1705,5.28,97,6,14,85,112,02_0594_45.wav,ZVZ,02,0594,42,89
CH13,13,1,a,CH,no,https://www.francescocangemi.com/isaphen/GUL.wav,https://youtu.be/xwqhSLq1oyg&t=0639,,dont know if that makes sense,6,0,1044,5.75,104,23,60,61,149,02_0594_49.wav,GUL,02,0594,45,25
CH14,14,1,b,CH,no,https://www.francescocangemi.com/isaphen/GYW.wav,https://youtu.be/xwqhSLq1oyg&t=0656,,oh i i think,4,3,1385,2.89,120,10,25,96,140,02_0656_02.wav,GYW,02,0656,0,27
CH15,15,1,b,CH,no,https://www.francescocangemi.com/isaphen/RVU.wav,https://youtu.be/xwqhSLq1oyg&t=0659,,both but i i wouldn't have been able to even approach the,16,4,3250,4.92,101,7,20,86,119,02_0656_06.wav,RVU,02,0656,3,57
CH16,16,1,b,CH,no,https://www.francescocangemi.com/isaphen/LKH.wav,https://youtu.be/xwqhSLq1oyg&t=0662,,imaginary with japanese,9,2,1737,5.18,94,5,10,79,106,02_0656_08.wav,LKH,02,0656,6,37
CH17,17,1,b,CH,yes,https://www.francescocangemi.com/isaphen/PSF.wav,https://youtu.be/xwqhSLq1oyg&t=0669,https://www.francescocangemi.com/isaphen/PSF.png,i mean y you know what would be interesting is if,12,4,2531,4.74,133,32,88,85,203,02_0656_16.wav,PSF,02,0656,13,49
CH18,18,1,b,CH,no,https://www.francescocangemi.com/isaphen/VQW.wav,https://youtu.be/xwqhSLq1oyg&t=0683,,but it would be interesting if there was a more robust narrative something that we could,23,1,3535,6.51,105,12,30,86,145,02_0656_26.wav,VQW,02,0656,27,68
CH19,19,1,b,CH,no,https://www.francescocangemi.com/isaphen/VHB.wav,https://youtu.be/xwqhSLq1oyg&t=0691,,in the imaginary,7,2,1380,5.07,96,8,18,85,130,02_0656_34.wav,VHB,02,0656,35,66
CH20,20,1,b,CH,yes,https://www.francescocangemi.com/isaphen/NCB.wav,https://youtu.be/xwqhSLq1oyg&t=0695,https://www.francescocangemi.com/isaphen/NCB.png,i think it would still be beyond me,9,1,1282,7.02,90,9,24,75,118,02_0656_40.wav,NCB,02,0656,39,40
CH21,21,1,b,CH,no,https://www.francescocangemi.com/isaphen/MBT.wav,https://youtu.be/xwqhSLq1oyg&t=0697,,yeah interesting thought anyway,8,1,1218,6.57,98,18,38,80,151,02_0656_44.wav,MBT,02,0656,41,38
CH22,22,1,b,CH,no,https://www.francescocangemi.com/isaphen/QGM.wav,https://youtu.be/xwqhSLq1oyg&t=0699,,or maybe not interesting,7,1,1096,6.39,90,6,16,80,105,02_0656_46.wav,QGM,02,0656,43,52
CH23,23,1,c,CH,no,https://www.francescocangemi.com/isaphen/SFI.wav,https://youtu.be/xwqhSLq1oyg&t=0847,,yeah sorry if i'm hard to hear,8,1,1326,6.03,103,11,25,79,137,02_0846_04.wav,SFI,02,0846,1,59
CH24,24,1,c,CH,no,https://www.francescocangemi.com/isaphen/LFO.wav,https://youtu.be/xwqhSLq1oyg&t=0852,,i i would definitely agree that's,10,2,1370,7.3,116,19,51,87,153,02_0846_08.wav,LFO,02,0846,6,35
CH25,25,1,c,CH,yes,https://www.francescocangemi.com/isaphen/TOL.wav,https://youtu.be/xwqhSLq1oyg&t=0857,https://www.francescocangemi.com/isaphen/TOL.png,particularly,5,2,1101,4.54,118,16,43,93,152,02_0846_14.wav,TOL,02,0846,11,61
CH26,26,1,c,CH,no,https://www.francescocangemi.com/isaphen/VAU.wav,https://youtu.be/xwqhSLq1oyg&t=0859,,i suppose interested in watching how people,12,2,2599,4.62,100,14,34,86,146,02_0846_16.wav,VAU,02,0846,13,65
CH27,27,1,c,CH,no,https://www.francescocangemi.com/isaphen/QAH.wav,https://youtu.be/xwqhSLq1oyg&t=0863,,negotiate the transposition,9,1,1667,5.4,95,4,8,89,105,02_0846_20.wav,QAH,02,0846,17,50
CH28,28,1,c,CH,no,https://www.francescocangemi.com/isaphen/COH.wav,https://youtu.be/xwqhSLq1oyg&t=0865,,between the imaginary,8,1,1368,5.85,105,16,45,88,151,02_0846_22.wav,COH,02,0846,19,7
CH29,29,1,c,CH,no,https://www.francescocangemi.com/isaphen/GCH.wav,https://youtu.be/xwqhSLq1oyg&t=0870,,i mean again nn if for me in my japanese it's,14,4,2441,5.74,98,9,25,86,116,02_0846_28.wav,GCH,02,0846,24,17
CH30,30,1,c,CH,yes,https://www.francescocangemi.com/isaphen/KBJ.wav,https://youtu.be/xwqhSLq1oyg&t=0873,https://www.francescocangemi.com/isaphen/KBJ.png,you know i say it's impossible but like len said if there's a or,17,4,3414,4.98,98,11,29,79,129,02_0846_30.wav,KBJ,02,0846,27,31
CH31,31,1,c,CH,no,https://www.francescocangemi.com/isaphen/QPE.wav,https://youtu.be/xwqhSLq1oyg&t=0879,,if there's a uh,4,3,1134,3.53,99,19,48,78,147,02_0846_34.wav,QPE,02,0846,33,55
CH32,32,1,c,CH,no,https://www.francescocangemi.com/isaphen/HIT.wav,https://youtu.be/xwqhSLq1oyg&t=0880,,you know a narrative there that can be pointed to,13,0,2091,6.22,94,8,21,82,118,02_0846_36.wav,HIT,02,0846,34,28
CH33,33,1,c,CH,no,https://www.francescocangemi.com/isaphen/CWP.wav,https://youtu.be/xwqhSLq1oyg&t=0886,,i think uh,3,2,1166,2.57,96,7,18,83,109,02_0846_40.wav,CWP,02,0846,40,9
CH34,34,1,c,CH,no,https://www.francescocangemi.com/isaphen/OTB.wav,https://youtu.be/xwqhSLq1oyg&t=0889,,yeah i think it would've given,8,3,1775,4.51,98,7,16,86,122,02_0846_42.wav,OTB,02,0846,43,45
CH35,35,1,c,CH,no,https://www.francescocangemi.com/isaphen/OSE.wav,https://youtu.be/xwqhSLq1oyg&t=0893,,it possibly would've given me another,12,2,2230,5.38,102,14,35,80,124,02_0846_46.wav,OSE,02,0846,47,44
CH36,36,1,c,CH,no,https://www.francescocangemi.com/isaphen/ZBF.wav,https://youtu.be/xwqhSLq1oyg&t=0896,,to try to think about,6,2,1232,4.87,117,24,59,95,158,02_0846_50.wav,ZBF,02,0846,50,82
CH37,37,1,c,CH,no,https://www.francescocangemi.com/isaphen/OFP.wav,https://youtu.be/xwqhSLq1oyg&t=0906,,the most contact i have with japanese is like,12,2,3034,3.96,110,9,26,92,125,02_0846_58.wav,OFP,02,0846,60,41
CH38,38,1,c,CH,no,https://www.francescocangemi.com/isaphen/BLZ.wav,https://youtu.be/xwqhSLq1oyg&t=0911,,i'd say reading my daughter's bedtime stories but mostly they're reading them to me,20,0,3619,5.53,91,13,35,77,125,02_0846_62.wav,BLZ,02,0846,65,6
CH39,39,1,c,CH,no,https://www.francescocangemi.com/isaphen/KYZ.wav,https://youtu.be/xwqhSLq1oyg&t=0924,,close quarter movement and stuff,7,0,1584,4.42,96,11,26,77,134,02_0846_68.wav,KYZ,02,0846,78,34
CH40,40,1,c,CH,no,https://www.francescocangemi.com/isaphen/PNW.wav,https://youtu.be/xwqhSLq1oyg&t=0928,,so yeah i guess i'm thinking of it in terms of giving people another,19,3,3474,5.47,87,4,10,83,100,02_0846_72.wav,PNW,02,0846,82,47
CH41,41,1,c,CH,no,https://www.francescocangemi.com/isaphen/NAI.wav,https://youtu.be/xwqhSLq1oyg&t=0931,,context,2,2,1071,1.87,98,17,28,81,166,02_0846_74.wav,NAI,02,0846,85,39
CH42,42,1,c,CH,no,https://www.francescocangemi.com/isaphen/ZVW.wav,https://youtu.be/xwqhSLq1oyg&t=0935,,about which they can talk about,8,2,2170,3.69,85,5,15,74,100,02_0846_78.wav,ZVW,02,0846,89,88
CH43,43,1,c,CH,no,https://www.francescocangemi.com/isaphen/USN.wav,https://youtu.be/xwqhSLq1oyg&t=0937,,and then also just in kind of,8,4,2150,3.72,96,16,46,73,140,02_0846_80.wav,USN,02,0846,91,64
CH44,44,1,c,CH,yes,https://www.francescocangemi.com/isaphen/WYC.wav,https://youtu.be/xwqhSLq1oyg&t=0940,https://www.francescocangemi.com/isaphen/WYC.png,academic interest in,7,3,1682,4.16,97,9,21,76,129,02_0846_82.wav,WYC,02,0846,94,74
CH45,45,1,c,CH,no,https://www.francescocangemi.com/isaphen/YFS.wav,https://youtu.be/xwqhSLq1oyg&t=0943,,how they cognitively and linguistically negotiate,16,1,2819,5.68,94,10,25,75,121,02_0846_84.wav,YFS,02,0846,97,80
CH46,46,1,c,CH,yes,https://www.francescocangemi.com/isaphen/IXU.wav,https://youtu.be/xwqhSLq1oyg&t=0948,https://www.francescocangemi.com/isaphen/IXU.png,movement between,4,3,1549,2.58,86,5,11,80,101,02_0846_90.wav,IXU,02,0846,102,30
CH47,47,1,c,CH,no,https://www.francescocangemi.com/isaphen/GDX.wav,https://youtu.be/xwqhSLq1oyg&t=0951,,the narrative structure,6,1,1490,4.03,97,9,24,78,113,02_0846_92.wav,GDX,02,0846,105,18
